,File,Schema
0,yellow_2009-01.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
1,yellow_2009-02.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
2,yellow_2009-03.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
3,yellow_2009-04.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
4,yellow_2009-05.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
5,yellow_2009-06.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
6,yellow_2009-07.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
7,yellow_2009-08.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
8,yellow_2009-09.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
9,yellow_2009-10.parquet,"[('vendor_name', 'string'), ('Trip_Pickup_DateTime', 'string'), ('Trip_Dropoff_DateTime', 'string'), ('Passenger_Count', 'bigint'), ('Trip_Distance', 'double'), ('Start_Lon', 'double'), ('Start_Lat', 'double'), ('Rate_Code', 'double'), ('store_and_forward', 'double'), ('End_Lon', 'double'), ('End_Lat', 'double'), ('Payment_Type', 'string'), ('Fare_Amt', 'double'), ('surcharge', 'double'), ('mta_tax', 'double'), ('Tip_Amt', 'double'), ('Tolls_Amt', 'double'), ('Total_Amt', 'double')]"
